"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"met",0.3,0.03,100,0.15,0.01,0.670820393249937,0.387298334620742,1.5,0.672568877078912,0.387518165945112,1.50025119092915,0.510935775599347,0.326448309697665,0.165099650278028
"met",0.3,0.03,100,0.15,0.05,0.670820393249937,0.387298334620742,0.670820393249937,0.673771382652832,0.387553083096958,0.670800530665822,0.510971182081134,0.324487033553263,0.163712631792994
"met",0.3,0.03,100,0.25,0,0.670820393249937,0.3,Inf,0.673818345873087,0.300284607068648,Inf,0.507764499036544,0.270367562054872,0.162059970727904
"met",0.3,0.03,100,0.25,0.01,0.670820393249937,0.3,1.5,0.67186028322951,0.299972488274102,1.50017229900237,0.505677440922832,0.270521529311676,0.161814731807123
"met",0.3,0.03,100,0.25,0.05,0.670820393249937,0.3,0.670820393249937,0.672965444882154,0.300459488461834,0.671019895080607,0.506042360910359,0.270281936188642,0.160726103471742
"met",0.5,0.05,30,0.05,0,1.11803398874989,1.11803398874989,Inf,1.11917211601855,1.11957000757802,Inf,0.634561754119724,0.477790042451873,0.233580296762035
"met",0.5,0.05,30,0.05,0.01,1.11803398874989,1.11803398874989,2.5,1.12143365180636,1.119843790017,2.49938411405832,0.635185837606482,0.477674339975034,0.232914325650299
"met",0.5,0.05,30,0.05,0.05,1.11803398874989,1.11803398874989,1.11803398874989,1.12112549961304,1.11968749790545,1.11790451288193,0.635217734522073,0.476470619620929,0.232661172980251
"met",0.5,0.05,30,0.15,0,1.11803398874989,0.645497224367903,Inf,1.12056134646692,0.646193971586188,Inf,0.633625809388418,0.415412297885664,0.232160234117539
"met",0.5,0.05,30,0.15,0.01,1.11803398874989,0.645497224367903,2.5,1.12018266130403,0.645343854626411,2.5005336277505,0.632106526402563,0.416231882122225,0.232378205667506
"met",0.5,0.05,30,0.15,0.05,1.11803398874989,0.645497224367903,1.11803398874989,1.12120103464243,0.646040791972982,1.11817756497665,0.63193370732894,0.415587251339655,0.231604716596203
"met",0.5,0.05,30,0.25,0,1.11803398874989,0.5,Inf,1.12237280212346,0.500266209143947,Inf,0.630226112251524,0.374003116546161,0.231251566816005
"met",0.5,0.05,30,0.25,0.01,1.11803398874989,0.5,2.5,1.1210360334084,0.50091780137546,2.50051871599387,0.630840275144008,0.372901429257545,0.231223186544251
"met",0.5,0.05,30,0.25,0.05,1.11803398874989,0.5,1.11803398874989,1.12054127452011,0.500473845713533,1.11821974044227,0.62808049910314,0.373111703389097,0.230605162669777
"met",0.5,0.05,100,0.05,0,1.11803398874989,1.11803398874989,Inf,1.12055271866622,1.11825410209406,Inf,0.701143432222227,0.620663474959475,0.25814766764017
"met",0.5,0.05,100,0.05,0.01,1.11803398874989,1.11803398874989,2.5,1.11906515267111,1.11792271223939,2.50050948720895,0.70043194081041,0.619082120278353,0.257684775540293
